id,province,population,x_coord,y_coord,latitude,longitude,name
11001,1,14690,150964.395333333,202431.664,51.1340539,4.3844742,AARTSELAAR
11002,1,480727,153104.586028369,212271.710070922,51.2165845003546,4.41354548865248,ANTWERPEN
11004,1,13060,159954.505,206256.5035,51.16082405,4.51038522,BOECHOUT
11005,1,15954,150360.4,198115.397222222,51.08608,4.36633,BOOM
11007,1,11830,158373.267142857,209240.251428571,51.1966684,4.4856299,BORSBEEK
11008,1,41380,158918.819827586,221748.327413793,51.29227,4.49419,BRASSCHAAT
11009,1,28897,168070.150125,224780.0715,51.3495775,4.6376322,BRECHT
11013,1,23729,154685.668,205393.024666667,51.1559541,4.4318937,EDEGEM
11016,1,18616,156460.2596,237847.8004,51.38298,4.47518,ESSEN 
11018,1,10092,148198.769285714,203536.623571429,51.14518,4.33834,HEMIKSEM
11021,1,8973,157610.123333333,204366.294444444,51.1540043,4.4711513,HOVE
11022,1,19159,157904.470588235,231315.796176471,51.38298,4.47518,KALMTHOUT 
11023,1,28095,154487.6576,224119.3344,51.3140004,4.4324004,KAPELLEN
11024,1,22123,155592.424827586,201594.393448276,51.1300355655172,4.4466770862069,KONTICH
11025,1,8833,159097.005555556,201935.016666667,51.1272719,4.4967604,LINT
11029,1,25958,156009.792380952,207196.811904762,51.1691158,4.4662486,MORTSEL
11030,1,9059,147481.69,199869.634285714,51.11064,4.33207,NIEL
11035,1,19893,165219.225142857,208999.295714286,51.1887110371429,4.59022609142857,RANST
11037,1,16120,153073.82,198210.017826087,51.090113626087,4.41347080869565,RUMST
11038,1,8500,148445.176666667,201304.416666667,51.1269186,4.3388412,SCHELLE
11039,1,21400,164830.49625,215797.55375,51.2481301333333,4.5759354,SCHILDE
11040,1,35521,159116.704027778,216452.039722222,51.2497532,4.4977063,SCHOTEN
11044,1,20951,151340.993235294,224221.246764706,51.3229754411765,4.38529379411765,STABROEK
11050,1,9182,160418.273846154,213067.75,51.2298182,4.5108974,WIJNEGEM
11052,1,13123,160133.67575,210635.344,51.2021676,4.5219648,WOMMELGEM
11053,1,20021,165472.553285714,230754.345857143,51.3918731628571,4.60460126857143,WUUSTWEZEL
11054,1,13876,171240.356451613,210798.587741935,51.2061349806452,4.67296063548387,ZANDHOVEN
11055,1,23179,170230.605,216710.912692308,51.2551742846154,4.660247,ZOERSEL
11056,1,19898,147413.726590909,211497.378181818,51.2111991272727,4.33681802272727,ZWIJNDRECHT
11057,1,16102,173766.162083333,220855.247083333,51.2989753,4.71400875,MALLE-WESTMALLE
12002,1,11324,170183.21375,199770.38625,51.11804,4.65752,BERLAAR
12005,1,15338,163812.0405,190191.099,51.022196545,4.54803189,BONHEIDEN
12007,1,22479,140919.533103448,197684.458965517,51.0960068310345,4.23910036551724,BORNEM-BORMEM
12009,1,17904,159562.417368421,198297.200526316,51.09539,4.5052,DUFFEL
12014,1,42865,175485.751727273,195142.910181818,51.0751658363636,4.72976478181818,HEIST-OP-DEN-BERG
12021,1,35628,164122.030606061,202178.86969697,51.1302163606061,4.57150510909091,LIER
12025,1,81445,157133.004734043,190719.186808511,51.0253457489362,4.47459442765958,MECHELEN
12026,1,23449,170161.91375,204679.688,51.161359085,4.67056163,NIJLEN
12029,1,17382,168321.421818182,193384.040454545,51.0547257,4.6286791,PUTTE
12030,1,17548,145766.049285714,195576.441428571,51.0660142971429,4.31838657142857,PUURS
12034,1,8284,140363.067222222,193587.940555556,51.0559173,4.2216529,SINT-AMANDS
12035,1,20792,160949.1434,194566.7006,51.068052052,4.544615732,SINT
12040,1,24484,149512.518235294,193678.293235294,51.0549093352941,4.35449356176471,WILLEBROEK
13001,1,13602,200265.820714286,223593.327142857,51.322049,5.0863348,ARENDONK 
13002,1,2456,188246.127602339,235450.818913255,51.441832,4.931736,BAARLE-HERTOG
13003,1,22521,206348.938285714,206025.960571429,51.1643076485714,5.16314632571429,BALEN
13004,1,18477,181984.558,222925.8025,51.31501988,4.84026508,BEERSE
13006,1,9810,202306.173076923,214920.894615385,51.23985,5.11269,DESSEL
13008,1,39421,192976.39754717,204923.660566038,51.1414208867925,4.91406741320755,GEEL
13010,1,12173,176066.145238095,207526.172380952,51.1843208285714,4.73956748571429,GROBBENDONK
13011,1,29174,182261.408181818,206326.053030303,51.1643319787879,4.83547916969697,HERENTALS
13012,1,9744,178069.888333333,203598.811666667,51.1394506,4.7564892,HERENTHOUT
13013,1,15507,185479.861176471,193018.376470588,51.0523683235294,4.880688,HERSELT
13014,1,20607,177723.850128205,236286.371538462,51.4167736615385,4.77053884871795,HOOGSTRATEN
13016,1,10156,181190.1955,194518.243,51.07468686,4.79178604,HULSHOUT
13017,1,20233,190260.79425,214726.58225,51.233684625,4.937155015,KASTERLEE
13019,1,17359,182261.79,215623.595862069,51.2602124206897,4.83726776206897,LILLE
13021,1,10642,199576.960625,202102.603125,51.13219,5.07708,MEERHOUT
13023,1,9333,184075.034375,228333.24125,51.34806,4.76054,MERKSPLAS 
13025,1,36461,202717.016324786,210208.450598291,51.191087,5.1170647,MOL
13029,1,13044,186180.606,206167.0615,51.1440245,4.8599119,OLEN
13031,1,14535,193450.011315789,223717.788947368,51.3177601,4.982845,OUD-TURNHOUT
13035,1,14804,195016.689583333,234093.055138889,51.4103972694444,5.01068341666667,RAVELS
13036,1,11518,199608.027142857,218127.677142857,51.2669664,5.0842508,RETIE 
13037,1,11972,177557.584736842,226352.594210526,51.34806,4.76054,RIJKEVORSEL
13040,1,44703,189799.266666667,223877.525151515,51.3216509,4.9375577,TURNHOUT
